     0: >>> E[0:00:00]-R[?]: Return=     -0.61, Steps=11.0, Features = 16
   350: E[0:00:03]-R[0:00:13]: Return=     0.987, Steps=  14, Features = 16
   478: E[0:00:04]-R[0:00:12]: Return=     0.997, Steps=   4, Features = 16
   608: E[0:00:05]-R[0:00:11]: Return=     0.995, Steps=   6, Features = 16
   746: E[0:00:06]-R[0:00:10]: Return=     0.997, Steps=   4, Features = 16
   886: E[0:00:07]-R[0:00:09]: Return=     0.989, Steps=  12, Features = 16
  1026: E[0:00:08]-R[0:00:07]: Return=     0.997, Steps=   4, Features = 16
  1170: E[0:00:09]-R[0:00:06]: Return=     0.993, Steps=   8, Features = 16
  1313: E[0:00:10]-R[0:00:05]: Return=     0.989, Steps=  12, Features = 16
  1453: E[0:00:11]-R[0:00:04]: Return=     0.997, Steps=   4, Features = 16
  1591: E[0:00:12]-R[0:00:03]: Return=     0.995, Steps=   6, Features = 16
  1727: E[0:00:13]-R[0:00:02]: Return=     0.995, Steps=   6, Features = 16
  1859: E[0:00:14]-R[0:00:01]: Return=     0.995, Steps=   6, Features = 16
  1997: E[0:00:15]-R[0:00:00]: Return=     0.997, Steps=   4, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=     0.996, Steps= 5.0, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:15]-R[8:30:08]: Return=    0.9954, Steps= 5.6, Features = 16
     1: >>> E[0:00:31]-R[17:24:24]: Return=     0.996, Steps= 5.0, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.9938, Steps= 7.2, Features = 16
    96: E[0:00:01]-R[0:00:14]: Return=     0.995, Steps=   6, Features = 16
   226: E[0:00:02]-R[0:00:14]: Return=     0.995, Steps=   6, Features = 16
   366: E[0:00:03]-R[0:00:13]: Return=     0.981, Steps=  20, Features = 16
   502: E[0:00:04]-R[0:00:12]: Return=     0.993, Steps=   8, Features = 16
   632: E[0:00:05]-R[0:00:11]: Return=     0.997, Steps=   4, Features = 16
   766: E[0:00:06]-R[0:00:09]: Return=     0.993, Steps=   8, Features = 16
   900: E[0:00:07]-R[0:00:08]: Return=     0.995, Steps=   6, Features = 16
  1036: E[0:00:08]-R[0:00:07]: Return=     0.997, Steps=   4, Features = 16
  1170: E[0:00:09]-R[0:00:06]: Return=     0.993, Steps=   8, Features = 16
  1308: E[0:00:10]-R[0:00:05]: Return=     0.991, Steps=  10, Features = 16
  1458: E[0:00:11]-R[0:00:04]: Return=     0.989, Steps=  12, Features = 16
  1596: E[0:00:12]-R[0:00:03]: Return=     0.995, Steps=   6, Features = 16
  1744: E[0:00:13]-R[0:00:02]: Return=     0.989, Steps=  12, Features = 16
  1890: E[0:00:14]-R[0:00:01]: Return=     0.995, Steps=   6, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.7927, Steps= 8.3, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:15]-R[8:28:25]: Return=    0.9942, Steps= 6.8, Features = 16
     1: >>> E[0:00:31]-R[17:03:33]: Return=    0.9932, Steps= 7.8, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.7922, Steps= 8.8, Features = 16
    84: E[0:00:01]-R[0:00:14]: Return=     0.997, Steps=   4, Features = 16
   208: E[0:00:02]-R[0:00:14]: Return=    -1.019, Steps=  20, Features = 16
   340: E[0:00:03]-R[0:00:13]: Return=     0.997, Steps=   4, Features = 16
   478: E[0:00:04]-R[0:00:12]: Return=     0.995, Steps=   6, Features = 16
   622: E[0:00:05]-R[0:00:10]: Return=     0.987, Steps=  14, Features = 16
   758: E[0:00:06]-R[0:00:09]: Return=     0.993, Steps=   8, Features = 16
   898: E[0:00:07]-R[0:00:08]: Return=     0.991, Steps=  10, Features = 16
  1036: E[0:00:08]-R[0:00:07]: Return=     0.995, Steps=   6, Features = 16
  1182: E[0:00:09]-R[0:00:06]: Return=     0.985, Steps=  16, Features = 16
  1316: E[0:00:10]-R[0:00:05]: Return=     0.995, Steps=   6, Features = 16
  1448: E[0:00:11]-R[0:00:04]: Return=    -1.003, Steps=   4, Features = 16
  1586: E[0:00:12]-R[0:00:03]: Return=    -1.015, Steps=  16, Features = 16
  1732: E[0:00:13]-R[0:00:02]: Return=    -1.011, Steps=  12, Features = 16
  1870: E[0:00:14]-R[0:00:01]: Return=     0.985, Steps=  16, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9946, Steps= 6.4, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:15]-R[8:34:56]: Return=    0.7962, Steps= 4.8, Features = 16
     1: >>> E[0:00:31]-R[17:15:43]: Return=    0.9952, Steps= 5.8, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.8014, Steps= 2.4, Features = 16
    90: E[0:00:01]-R[0:00:15]: Return=     0.991, Steps=  10, Features = 16
   216: E[0:00:02]-R[0:00:14]: Return=    -1.001, Steps=   2, Features = 16
   350: E[0:00:03]-R[0:00:13]: Return=     0.993, Steps=   8, Features = 16
   492: E[0:00:04]-R[0:00:12]: Return=     0.993, Steps=   8, Features = 16
   622: E[0:00:05]-R[0:00:11]: Return=    -1.001, Steps=   2, Features = 16
   754: E[0:00:06]-R[0:00:10]: Return=     0.997, Steps=   4, Features = 16
   892: E[0:00:07]-R[0:00:08]: Return=     0.995, Steps=   6, Features = 16
  1026: E[0:00:08]-R[0:00:07]: Return=     0.995, Steps=   6, Features = 16
  1152: E[0:00:09]-R[0:00:07]: Return=    -1.001, Steps=   2, Features = 16
  1294: E[0:00:10]-R[0:00:05]: Return=     0.991, Steps=  10, Features = 16
  1432: E[0:00:11]-R[0:00:04]: Return=     0.993, Steps=   8, Features = 16
  1568: E[0:00:12]-R[0:00:03]: Return=     0.993, Steps=   8, Features = 16
  1708: E[0:00:13]-R[0:00:02]: Return=     0.997, Steps=   4, Features = 16
  1844: E[0:00:14]-R[0:00:01]: Return=     0.993, Steps=   8, Features = 16
  1980: E[0:00:15]-R[0:00:00]: Return=     0.995, Steps=   6, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.3952, Steps= 5.8, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:16]-R[8:38:15]: Return=    0.5942, Steps= 6.8, Features = 16
     1: >>> E[0:00:32]-R[17:34:32]: Return=    0.3958, Steps= 5.2, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    -1.003, Steps= 4.2, Features = 16
    84: E[0:00:01]-R[0:00:14]: Return=    -1.002, Steps=   3, Features = 16
   262: E[0:00:02]-R[0:00:12]: Return=    -1.076, Steps=  77, Features = 16
   411: E[0:00:03]-R[0:00:11]: Return=    -1.012, Steps=  13, Features = 16
   569: E[0:00:04]-R[0:00:10]: Return=    -1.034, Steps=  35, Features = 16
   717: E[0:00:05]-R[0:00:09]: Return=     0.971, Steps=  30, Features = 16
   880: E[0:00:06]-R[0:00:08]: Return=    -1.058, Steps=  59, Features = 16
  1063: E[0:00:07]-R[0:00:06]: Return=    -1.042, Steps=  43, Features = 16
  1226: E[0:00:08]-R[0:00:05]: Return=     0.979, Steps=  22, Features = 16
  1397: E[0:00:09]-R[0:00:04]: Return=     0.977, Steps=  24, Features = 16
  1567: E[0:00:11]-R[0:00:03]: Return=     0.971, Steps=  30, Features = 16
  1718: E[0:00:12]-R[0:00:02]: Return=     0.943, Steps=  58, Features = 16
  1907: E[0:00:13]-R[0:00:01]: Return=     0.927, Steps=  74, Features = 16
  2000: >>> E[0:00:14]-R[0:00:00]: Return=    0.7817, Steps=19.3, Features = 16
Total Experiment Duration 0:00:14
     1: >>> E[0:00:14]-R[7:40:06]: Return=    0.7827, Steps=18.3, Features = 16
     1: >>> E[0:00:29]-R[16:01:34]: Return=    0.9928, Steps= 8.2, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.8007, Steps= 1.7, Features = 16
    90: E[0:00:01]-R[0:00:16]: Return=     0.993, Steps=   8, Features = 16
   216: E[0:00:02]-R[0:00:15]: Return=     0.997, Steps=   4, Features = 16
   341: E[0:00:03]-R[0:00:14]: Return=     0.997, Steps=   4, Features = 16
   472: E[0:00:04]-R[0:00:12]: Return=    -1.002, Steps=   3, Features = 16
   602: E[0:00:05]-R[0:00:11]: Return=     0.989, Steps=  12, Features = 16
   732: E[0:00:06]-R[0:00:10]: Return=        -1, Steps=   1, Features = 16
   865: E[0:00:07]-R[0:00:09]: Return=     0.993, Steps=   8, Features = 16
   995: E[0:00:08]-R[0:00:08]: Return=     0.997, Steps=   4, Features = 16
  1129: E[0:00:09]-R[0:00:07]: Return=     0.987, Steps=  14, Features = 16
  1265: E[0:00:10]-R[0:00:06]: Return=     0.995, Steps=   6, Features = 16
  1389: E[0:00:11]-R[0:00:05]: Return=        -1, Steps=   1, Features = 16
  1523: E[0:00:12]-R[0:00:04]: Return=        -1, Steps=   1, Features = 16
  1661: E[0:00:13]-R[0:00:03]: Return=    -1.002, Steps=   3, Features = 16
  1795: E[0:00:14]-R[0:00:02]: Return=    -1.002, Steps=   3, Features = 16
  1940: E[0:00:15]-R[0:00:00]: Return=     0.993, Steps=   8, Features = 16
  2000: >>> E[0:00:16]-R[0:00:00]: Return=     0.595, Steps= 6.0, Features = 16
Total Experiment Duration 0:00:16
     1: >>> E[0:00:16]-R[8:47:30]: Return=    0.3951, Steps= 5.9, Features = 16
     1: >>> E[0:00:32]-R[17:52:10]: Return=    0.7967, Steps= 4.3, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    -1.014, Steps=14.6, Features = 16
   101: E[0:00:01]-R[0:00:13]: Return=     -1.01, Steps=  11, Features = 16
   356: E[0:00:02]-R[0:00:11]: Return=    -1.254, Steps= 255, Features = 16
   507: E[0:00:03]-R[0:00:10]: Return=    -1.006, Steps=   7, Features = 16
   667: E[0:00:05]-R[0:00:09]: Return=     0.969, Steps=  32, Features = 16
   812: E[0:00:06]-R[0:00:08]: Return=     0.995, Steps=   6, Features = 16
   988: E[0:00:07]-R[0:00:07]: Return=     0.961, Steps=  40, Features = 16
  1138: E[0:00:08]-R[0:00:06]: Return=     0.985, Steps=  16, Features = 16
  1286: E[0:00:09]-R[0:00:05]: Return=     0.989, Steps=  12, Features = 16
  1423: E[0:00:10]-R[0:00:04]: Return=     0.989, Steps=  12, Features = 16
  1555: E[0:00:11]-R[0:00:03]: Return=     0.991, Steps=  10, Features = 16
  1706: E[0:00:12]-R[0:00:02]: Return=     0.987, Steps=  14, Features = 16
  1850: E[0:00:13]-R[0:00:01]: Return=     0.997, Steps=   4, Features = 16
  1999: E[0:00:14]-R[0:00:00]: Return=     0.993, Steps=   8, Features = 16
  2000: >>> E[0:00:14]-R[0:00:00]: Return=     0.995, Steps= 6.0, Features = 16
Total Experiment Duration 0:00:14
     1: >>> E[0:00:14]-R[7:55:31]: Return=     0.994, Steps= 7.0, Features = 16
     1: >>> E[0:00:30]-R[16:31:34]: Return=    0.9946, Steps= 6.4, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.9938, Steps= 7.2, Features = 16
    96: E[0:00:01]-R[0:00:14]: Return=     0.995, Steps=   6, Features = 16
   224: E[0:00:02]-R[0:00:14]: Return=     0.997, Steps=   4, Features = 16
   372: E[0:00:03]-R[0:00:12]: Return=     0.993, Steps=   8, Features = 16
   510: E[0:00:04]-R[0:00:11]: Return=     0.995, Steps=   6, Features = 16
   652: E[0:00:05]-R[0:00:10]: Return=     0.993, Steps=   8, Features = 16
   788: E[0:00:06]-R[0:00:09]: Return=     0.995, Steps=   6, Features = 16
   926: E[0:00:07]-R[0:00:08]: Return=     0.993, Steps=   8, Features = 16
  1082: E[0:00:08]-R[0:00:07]: Return=     0.983, Steps=  18, Features = 16
  1228: E[0:00:09]-R[0:00:06]: Return=     0.989, Steps=  12, Features = 16
  1382: E[0:00:10]-R[0:00:04]: Return=     0.989, Steps=  12, Features = 16
  1522: E[0:00:11]-R[0:00:03]: Return=     0.991, Steps=  10, Features = 16
  1662: E[0:00:12]-R[0:00:02]: Return=     0.995, Steps=   6, Features = 16
  1792: E[0:00:13]-R[0:00:02]: Return=     0.991, Steps=  10, Features = 16
  1922: E[0:00:14]-R[0:00:01]: Return=    -1.009, Steps=  10, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9928, Steps= 8.2, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:15]-R[8:26:32]: Return=    0.5958, Steps= 5.2, Features = 16
     1: >>> E[0:00:31]-R[17:13:58]: Return=    0.9962, Steps= 4.8, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.5962, Steps= 4.8, Features = 16
    85: E[0:00:01]-R[0:00:14]: Return=     0.991, Steps=  10, Features = 16
   205: E[0:00:02]-R[0:00:14]: Return=    -1.004, Steps=   5, Features = 16
   344: E[0:00:03]-R[0:00:13]: Return=     0.991, Steps=  10, Features = 16
   476: E[0:00:04]-R[0:00:12]: Return=     0.987, Steps=  14, Features = 16
   611: E[0:00:05]-R[0:00:11]: Return=     0.997, Steps=   4, Features = 16
   741: E[0:00:06]-R[0:00:10]: Return=     0.997, Steps=   4, Features = 16
   877: E[0:00:07]-R[0:00:09]: Return=     0.989, Steps=  12, Features = 16
  1022: E[0:00:08]-R[0:00:07]: Return=     0.985, Steps=  16, Features = 16
  1161: E[0:00:09]-R[0:00:06]: Return=     0.995, Steps=   6, Features = 16
  1311: E[0:00:10]-R[0:00:05]: Return=     0.991, Steps=  10, Features = 16
  1442: E[0:00:11]-R[0:00:04]: Return=    -1.002, Steps=   3, Features = 16
  1574: E[0:00:12]-R[0:00:03]: Return=     0.993, Steps=   8, Features = 16
  1714: E[0:00:13]-R[0:00:02]: Return=     0.993, Steps=   8, Features = 16
  1847: E[0:00:14]-R[0:00:01]: Return=     0.995, Steps=   6, Features = 16
  1985: E[0:00:15]-R[0:00:00]: Return=     0.993, Steps=   8, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=     0.994, Steps= 7.0, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:15]-R[8:32:18]: Return=    0.7947, Steps= 6.3, Features = 16
     1: >>> E[0:00:31]-R[17:16:15]: Return=     0.596, Steps= 5.0, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=     0.196, Steps= 5.0, Features = 16
    91: E[0:00:01]-R[0:00:15]: Return=     0.993, Steps=   8, Features = 16
   213: E[0:00:02]-R[0:00:14]: Return=     0.997, Steps=   4, Features = 16
   337: E[0:00:03]-R[0:00:14]: Return=     0.997, Steps=   4, Features = 16
   469: E[0:00:04]-R[0:00:12]: Return=     0.997, Steps=   4, Features = 16
   600: E[0:00:05]-R[0:00:11]: Return=     0.997, Steps=   4, Features = 16
   727: E[0:00:06]-R[0:00:10]: Return=     0.997, Steps=   4, Features = 16
   859: E[0:00:07]-R[0:00:09]: Return=     0.995, Steps=   6, Features = 16
   985: E[0:00:08]-R[0:00:08]: Return=     0.997, Steps=   4, Features = 16
  1118: E[0:00:09]-R[0:00:07]: Return=     0.997, Steps=   4, Features = 16
  1249: E[0:00:10]-R[0:00:06]: Return=     0.993, Steps=   8, Features = 16
  1377: E[0:00:11]-R[0:00:05]: Return=     0.997, Steps=   4, Features = 16
  1510: E[0:00:12]-R[0:00:04]: Return=     0.987, Steps=  14, Features = 16
  1624: E[0:00:13]-R[0:00:03]: Return=    -1.002, Steps=   3, Features = 16
  1755: E[0:00:14]-R[0:00:02]: Return=    -1.004, Steps=   5, Features = 16
  1879: E[0:00:15]-R[0:00:01]: Return=        -1, Steps=   1, Features = 16
  2000: >>> E[0:00:16]-R[0:00:00]: Return=   -0.0039, Steps= 4.9, Features = 16
Total Experiment Duration 0:00:16
     1: >>> E[0:00:16]-R[8:59:23]: Return=    0.3967, Steps= 4.3, Features = 16
     1: >>> E[0:00:32]-R[17:59:06]: Return=     0.995, Steps= 6.0, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.9946, Steps= 6.4, Features = 16
    92: E[0:00:01]-R[0:00:15]: Return=     0.991, Steps=  10, Features = 16
   220: E[0:00:02]-R[0:00:14]: Return=     0.991, Steps=  10, Features = 16
   364: E[0:00:03]-R[0:00:12]: Return=     0.991, Steps=  10, Features = 16
   502: E[0:00:04]-R[0:00:11]: Return=     0.993, Steps=   8, Features = 16
   644: E[0:00:05]-R[0:00:10]: Return=     0.989, Steps=  12, Features = 16
   792: E[0:00:06]-R[0:00:09]: Return=     0.995, Steps=   6, Features = 16
   938: E[0:00:07]-R[0:00:08]: Return=     0.993, Steps=   8, Features = 16
  1076: E[0:00:08]-R[0:00:07]: Return=     0.995, Steps=   6, Features = 16
  1216: E[0:00:09]-R[0:00:06]: Return=     0.991, Steps=  10, Features = 16
  1354: E[0:00:10]-R[0:00:05]: Return=     0.995, Steps=   6, Features = 16
  1497: E[0:00:11]-R[0:00:04]: Return=    -1.022, Steps=  23, Features = 16
  1635: E[0:00:12]-R[0:00:03]: Return=     0.995, Steps=   6, Features = 16
  1777: E[0:00:13]-R[0:00:02]: Return=     0.983, Steps=  18, Features = 16
  1916: E[0:00:14]-R[0:00:01]: Return=     0.995, Steps=   6, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9936, Steps= 7.4, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:15]-R[8:18:11]: Return=    0.7945, Steps= 6.5, Features = 16
     1: >>> E[0:00:31]-R[16:58:49]: Return=     0.995, Steps= 6.0, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.9938, Steps= 7.2, Features = 16
   104: E[0:00:01]-R[0:00:14]: Return=     0.987, Steps=  14, Features = 16
   238: E[0:00:02]-R[0:00:13]: Return=     0.995, Steps=   6, Features = 16
   384: E[0:00:03]-R[0:00:12]: Return=     0.989, Steps=  12, Features = 16
   528: E[0:00:04]-R[0:00:11]: Return=     0.993, Steps=   8, Features = 16
   664: E[0:00:05]-R[0:00:10]: Return=     0.997, Steps=   4, Features = 16
   803: E[0:00:06]-R[0:00:09]: Return=     0.995, Steps=   6, Features = 16
   943: E[0:00:07]-R[0:00:08]: Return=     0.997, Steps=   4, Features = 16
  1093: E[0:00:08]-R[0:00:07]: Return=     0.985, Steps=  16, Features = 16
  1239: E[0:00:09]-R[0:00:06]: Return=     0.991, Steps=  10, Features = 16
  1387: E[0:00:10]-R[0:00:04]: Return=     0.993, Steps=   8, Features = 16
  1528: E[0:00:11]-R[0:00:03]: Return=     0.995, Steps=   6, Features = 16
  1668: E[0:00:12]-R[0:00:02]: Return=     0.997, Steps=   4, Features = 16
  1811: E[0:00:13]-R[0:00:01]: Return=     0.997, Steps=   4, Features = 16
  1959: E[0:00:14]-R[0:00:00]: Return=     0.989, Steps=  12, Features = 16
  2000: >>> E[0:00:14]-R[0:00:00]: Return=    0.9928, Steps= 8.2, Features = 16
Total Experiment Duration 0:00:14
     1: >>> E[0:00:15]-R[8:09:22]: Return=    0.7961, Steps= 4.9, Features = 16
     1: >>> E[0:00:30]-R[16:47:58]: Return=    0.7961, Steps= 4.9, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.9938, Steps= 7.2, Features = 16
    90: E[0:00:01]-R[0:00:14]: Return=     0.993, Steps=   8, Features = 16
   216: E[0:00:02]-R[0:00:14]: Return=     0.997, Steps=   4, Features = 16
   354: E[0:00:03]-R[0:00:13]: Return=     0.995, Steps=   6, Features = 16
   496: E[0:00:04]-R[0:00:11]: Return=     0.993, Steps=   8, Features = 16
   630: E[0:00:05]-R[0:00:10]: Return=     0.997, Steps=   4, Features = 16
   768: E[0:00:06]-R[0:00:09]: Return=     0.993, Steps=   8, Features = 16
   902: E[0:00:07]-R[0:00:08]: Return=     0.995, Steps=   6, Features = 16
  1042: E[0:00:08]-R[0:00:07]: Return=     0.993, Steps=   8, Features = 16
  1182: E[0:00:09]-R[0:00:06]: Return=     0.997, Steps=   4, Features = 16
  1326: E[0:00:10]-R[0:00:05]: Return=     0.995, Steps=   6, Features = 16
  1466: E[0:00:11]-R[0:00:04]: Return=     0.993, Steps=   8, Features = 16
  1606: E[0:00:12]-R[0:00:03]: Return=     0.997, Steps=   4, Features = 16
  1748: E[0:00:13]-R[0:00:02]: Return=     0.993, Steps=   8, Features = 16
  1890: E[0:00:14]-R[0:00:01]: Return=     0.995, Steps=   6, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9928, Steps= 8.2, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:15]-R[8:28:36]: Return=    0.5958, Steps= 5.2, Features = 16
     1: >>> E[0:00:31]-R[17:17:38]: Return=    0.9962, Steps= 4.8, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    -1.003, Steps= 4.2, Features = 16
   117: E[0:00:01]-R[0:00:14]: Return=    -1.018, Steps=  19, Features = 16
   269: E[0:00:02]-R[0:00:13]: Return=    -1.048, Steps=  49, Features = 16
   421: E[0:00:03]-R[0:00:11]: Return=    -1.008, Steps=   9, Features = 16
   570: E[0:00:04]-R[0:00:10]: Return=     0.969, Steps=  32, Features = 16
   716: E[0:00:05]-R[0:00:09]: Return=    -1.002, Steps=   3, Features = 16
   855: E[0:00:06]-R[0:00:08]: Return=     0.991, Steps=  10, Features = 16
   991: E[0:00:07]-R[0:00:07]: Return=    -1.002, Steps=   3, Features = 16
  1129: E[0:00:08]-R[0:00:06]: Return=     0.995, Steps=   6, Features = 16
  1266: E[0:00:09]-R[0:00:05]: Return=     0.993, Steps=   8, Features = 16
  1398: E[0:00:10]-R[0:00:04]: Return=     0.995, Steps=   6, Features = 16
  1537: E[0:00:11]-R[0:00:03]: Return=     0.993, Steps=   8, Features = 16
  1678: E[0:00:12]-R[0:00:02]: Return=     -1.01, Steps=  11, Features = 16
  1812: E[0:00:13]-R[0:00:01]: Return=     0.993, Steps=   8, Features = 16
  1943: E[0:00:14]-R[0:00:00]: Return=    -1.008, Steps=   9, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.3955, Steps= 5.5, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:15]-R[8:23:39]: Return=    0.7963, Steps= 4.7, Features = 16
     1: >>> E[0:00:33]-R[18:06:42]: Return=     0.996, Steps= 5.0, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.9938, Steps= 7.2, Features = 16
    82: E[0:00:01]-R[0:00:15]: Return=     0.997, Steps=   4, Features = 16
   204: E[0:00:02]-R[0:00:15]: Return=     0.995, Steps=   6, Features = 16
   342: E[0:00:03]-R[0:00:13]: Return=     0.989, Steps=  12, Features = 16
   478: E[0:00:04]-R[0:00:12]: Return=     0.995, Steps=   6, Features = 16
   612: E[0:00:05]-R[0:00:11]: Return=     0.995, Steps=   6, Features = 16
   746: E[0:00:06]-R[0:00:10]: Return=     0.997, Steps=   4, Features = 16
   890: E[0:00:07]-R[0:00:09]: Return=     0.991, Steps=  10, Features = 16
  1026: E[0:00:08]-R[0:00:07]: Return=    -1.007, Steps=   8, Features = 16
  1162: E[0:00:09]-R[0:00:06]: Return=     0.993, Steps=   8, Features = 16
  1298: E[0:00:10]-R[0:00:05]: Return=     0.991, Steps=  10, Features = 16
  1436: E[0:00:11]-R[0:00:04]: Return=     0.995, Steps=   6, Features = 16
  1576: E[0:00:12]-R[0:00:03]: Return=     0.981, Steps=  20, Features = 16
  1712: E[0:00:13]-R[0:00:02]: Return=     0.997, Steps=   4, Features = 16
  1852: E[0:00:14]-R[0:00:01]: Return=     0.995, Steps=   6, Features = 16
  1988: E[0:00:15]-R[0:00:00]: Return=     0.991, Steps=  10, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9928, Steps= 8.2, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:15]-R[8:33:34]: Return=    0.7954, Steps= 5.6, Features = 16
     1: >>> E[0:00:31]-R[17:17:55]: Return=    0.3964, Steps= 4.6, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.9952, Steps= 5.8, Features = 16
    96: E[0:00:01]-R[0:00:15]: Return=     0.995, Steps=   6, Features = 16
   227: E[0:00:02]-R[0:00:14]: Return=     0.993, Steps=   8, Features = 16
   369: E[0:00:03]-R[0:00:13]: Return=     0.989, Steps=  12, Features = 16
   507: E[0:00:04]-R[0:00:11]: Return=     0.995, Steps=   6, Features = 16
   653: E[0:00:05]-R[0:00:10]: Return=     0.989, Steps=  12, Features = 16
   789: E[0:00:06]-R[0:00:09]: Return=     0.989, Steps=  12, Features = 16
   931: E[0:00:07]-R[0:00:08]: Return=     0.975, Steps=  26, Features = 16
  1067: E[0:00:08]-R[0:00:07]: Return=     0.997, Steps=   4, Features = 16
  1199: E[0:00:09]-R[0:00:06]: Return=     0.993, Steps=   8, Features = 16
  1337: E[0:00:10]-R[0:00:05]: Return=     0.997, Steps=   4, Features = 16
  1473: E[0:00:11]-R[0:00:04]: Return=     0.993, Steps=   8, Features = 16
  1611: E[0:00:12]-R[0:00:03]: Return=     0.989, Steps=  12, Features = 16
  1749: E[0:00:13]-R[0:00:02]: Return=     0.989, Steps=  12, Features = 16
  1889: E[0:00:14]-R[0:00:01]: Return=     0.993, Steps=   8, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9952, Steps= 5.8, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:15]-R[8:31:15]: Return=    0.9932, Steps= 7.8, Features = 16
     1: >>> E[0:00:31]-R[17:13:05]: Return=    0.9964, Steps= 4.6, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    -1.003, Steps= 4.2, Features = 16
    98: E[0:00:01]-R[0:00:14]: Return=    -1.006, Steps=   7, Features = 16
   269: E[0:00:02]-R[0:00:13]: Return=    -1.048, Steps=  49, Features = 16
   412: E[0:00:03]-R[0:00:11]: Return=    -1.022, Steps=  23, Features = 16
   569: E[0:00:04]-R[0:00:10]: Return=    -1.096, Steps=  97, Features = 16
   721: E[0:00:05]-R[0:00:09]: Return=     0.953, Steps=  48, Features = 16
   897: E[0:00:06]-R[0:00:08]: Return=     0.967, Steps=  34, Features = 16
  1059: E[0:00:07]-R[0:00:07]: Return=    -1.024, Steps=  25, Features = 16
  1210: E[0:00:08]-R[0:00:05]: Return=     0.995, Steps=   6, Features = 16
  1364: E[0:00:09]-R[0:00:04]: Return=     0.993, Steps=   8, Features = 16
  1505: E[0:00:10]-R[0:00:03]: Return=     0.987, Steps=  14, Features = 16
  1668: E[0:00:12]-R[0:00:02]: Return=     0.979, Steps=  22, Features = 16
  1812: E[0:00:13]-R[0:00:01]: Return=     0.987, Steps=  14, Features = 16
  1950: E[0:00:14]-R[0:00:00]: Return=     0.991, Steps=  10, Features = 16
  2000: >>> E[0:00:14]-R[0:00:00]: Return=    0.3857, Steps=15.3, Features = 16
Total Experiment Duration 0:00:14
     1: >>> E[0:00:14]-R[7:59:34]: Return=    0.3903, Steps=10.7, Features = 16
     1: >>> E[0:00:30]-R[16:42:42]: Return=    0.9956, Steps= 5.4, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.3753, Steps=25.7, Features = 16
   195: E[0:00:01]-R[0:00:12]: Return=    -1.104, Steps= 105, Features = 16
